* VELROT Run on 2025/ 5/20  1: 4 Version 1.01
* SYSTEM 1 File    : EURA       Slave.vel
* SYSTEM 2 File    : EURA       Master.vel
* FUNDAMENTAL File :            link.file
* OUTPUT FRAME     : EURA       PARAM_OPT TRS     
* EQ_DIST          :              200.0 m, CP_DIST :        200.0 m*
* AV_DIST          :                0.0 m* HEIGHT WEIGHT    :   0.000001
* 
* RMS fit for       28 components from   14 stations was       0.62 mm/yr, NRMS     2.23
* Estimates of Transformation parameters are: 
*    1 X-Offset      47.5676    97.9617 (mm/yr) 
*    2 Y-Offset      73.5393   159.5524 (mm/yr) 
*    3 Z-Offset    -105.2908   109.5669 (mm/yr) 
*    4 X-Rot          2.2826     3.6703 (mas/yr)
*    5 Y-Rot         -3.5256     4.2099 (mas/yr)
*    6 Z-Rot         -1.4545     4.2598 (mas/yr)
*    7 Scale      ********** ********** (ppb/yr)
*  Differences at the fundamental sites
*   #  Name 1  Name Ref    dN (mm)    dE (mm)    dU (mm)    sN (mm)    sE (mm)    sU (mm)   sTN (mm)   sTE (mm)   sTU (mm)
A    1 orid_GPS ORID_GPS      -0.49      -0.24 **********       0.16       0.15       1.03       0.14       0.14 **********
   19.51000   40.41000    -0.37    2.69   -0.37    2.69    0.99    0.67  0.000   ******* ******* ******* vlor_GPS 
   37.11300   37.74700   -11.96    3.66  -11.96    3.66    1.29    1.39  0.073   ******* ******* ******* abey_GPS 
   30.64400   38.76900   -21.36   -4.39  -21.36   -4.39    0.49    0.51 -0.020   ******* ******* ******* afyo_GPS 
   30.76100   40.58900   -11.84   -2.69  -11.84   -2.69    0.80    0.76 -0.048   ******* ******* ******* agok_GPS 
   30.68000   40.53800   -15.99   -2.44  -15.99   -2.44    0.71    0.70 -0.013   ******* ******* ******* aguz_GPS 
   27.87300   39.00600   -20.87  -11.47  -20.87  -11.47    0.54    0.53 -0.002   ******* ******* ******* akga_GPS 
   39.70200   40.97400     2.32   -3.17    2.32   -3.17    1.81    1.80  0.109   ******* ******* ******* akto_GPS 
   28.48300   38.31500   -22.58  -14.65  -22.58  -14.65    0.74    0.68  0.005   ******* ******* ******* alse_GPS 
   30.60900   36.82900   -12.70  -10.25  -12.70  -10.25    0.55    0.57 -0.028   ******* ******* ******* antg_GPS 
   27.21400   40.17100   -19.29   -9.52  -19.29   -9.52    0.69    0.71 -0.001   ******* ******* ******* arak_GPS 
   25.56600   40.92800     1.71   -2.44    1.71   -2.44    0.48    0.47 -0.046   ******* ******* ******* askt_GPS 
   26.40600   36.58600   -14.89  -30.52  -14.89  -30.52    0.47    0.43  0.004   ******* ******* ******* astp_GPS 
   26.70700   39.32600   -20.75  -10.50  -20.75  -10.50    0.57    0.55 -0.014   ******* ******* ******* ayva_GPS 
   26.91000   40.02900   -19.04   -9.28  -19.04   -9.28    0.70    0.70 -0.010   ******* ******* ******* bah1_GPS 
   27.90600   39.72200   -20.63   -5.37  -20.63   -5.37    0.59    0.51 -0.021   ******* ******* ******* bali_GPS 
   27.30800   38.71100   -17.09  -15.62  -17.09  -15.62    0.60    0.55 -0.019   ******* ******* ******* bayo_GPS 
